category,Sum_of_Price_category,item_id,price,sellable_online,Share of each category,Percentage of Share
Bar furniture,1081,2000948823,31939.0,44,0.015848183491763857,0.015848183491763857
Beds,31304,10089031113,342666.0,205,0.4589375911435483,0.4589375911435483
Bookcases & shelving units,289618,26646853806,284640.0,547,4.245993715557506,4.245993715557506
Cabinets & cupboards,276962,13625274076,230392.6,291,4.060448285148845,4.060448285148845
Café furniture,28795,1117639233,14401.0,26,0.4221539719198337,0.4221539719198337
Chairs,654641,23545969888,504536.6,477,9.59747519817926,9.59747519817926
Chests of drawers & drawer units,208000,5856880896,76522.5,125,3.049419210256135,3.049419210256135
Children's furniture,221774,6359426317,33822.0,119,3.2513552689199234,3.2513552689199234
Nursery furniture,184203,4441932049,38185.0,93,2.700539263398129,2.700539263398129
Outdoor furniture,443988,10209142157,185722.6,216,6.509161232323081,6.509161232323081
Room dividers,28210,683865166,12116.0,13,0.4135774803909883,0.4135774803909883
"Sideboards, buffets & console tables",50324,1076015123,24566.0,23,0.7377835208506237,0.7377835208506237
Sofas & armchairs,1032978,20664565284,857719.0,427,15.144148831595972,15.144148831595972
TV & media furniture,638875,9193860514,125219.6,189,9.366335086309558,9.366335086309558
Tables & desks,1795302,30772852216,691190.0,608,26.320328879861826,26.320328879861826
Trolleys,91098,1378285010,18998.5,27,1.3355576500765067,1.3355576500765067
Wardrobes,843818,11985532071,510265.5,236,12.370936630576496,12.370936630576496
